Rating,Set,Classification,Soundcloud,Youtube
,Bonobo Boiler Room New York DJ Set,Chill & Organic Electronica,https://soundcloud.com/platform/bonobo-boiler-room-new-york-dj-set,https://youtu.be/uynCeLheCPc?si=ZzQiLvOBD8PApL8K
,Bonobo Live At Royal Albert Hall,Chill & Organic Electronica,https://soundcloud.com/bess-41/bonobo-live-at-royal-albert-hall-2022,https://youtu.be/fn-4RbxXThE?si=ZilmOOK-QIj_smt4
,"Boris Brejcha @ Grand Palais in Paris, France for Cercle",Hard & Driving Techno,https://soundcloud.com/cerclelive/boris-brejcha-grand-palais-for-cercle?si=da65aaea6011410caa85b697619b31e6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/vqz8c4ZP3Wg?si=BAPyoKhjc5rTrGt1
,"Boris Brejcha at ArÃ¨nes de NÃ®mes, in France for Cercle",Hard & Driving Techno,https://soundcloud.com/gertjan-kluit/boris-brejcha-at-are-nes-de-ni,https://youtu.be/1MobY_vR7-g?si=X_6OdAEYdR9DceR6
,CamelPhat Live DJ Set From UshuaÃ¯a Ibiza,Melodic House & Techno,,https://youtu.be/LjL8qr-zf7k?si=W26NdnwIDVliLOJm
,Caribou | Boiler Room: Belfast,Breaks & Experimental,https://soundcloud.com/platform/caribou-belfast-caribou,https://youtu.be/uCZ-5pJP2Js?si=sQPAgovFtFrEPT7t
,Carista | Boiler Room x Dekmantel Festival 2018,Disco & Funky House,https://soundcloud.com/platform/carista-1?si=eec079d4790948ec9781b0c1c315375b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/GwDWGV9yuzA?si=rsKO-2HeADYSsNiR
,Carl Cox Boiler Room Ibiza Villa Takeovers DJ Set,Hard & Driving Techno,https://soundcloud.com/timunger/carl-cox-boiler-room-ibiza-villa-takeovers-dj-set?si=149cdfa71eeb40c6929794417d4a5a5d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/vy-k0FopsmY?si=s60Nh945Vc1qGt0_
,"Carlita at CinecittÃ , in Rome, Italy for Cercle",Chill & Organic Electronica,,https://youtu.be/5DxOwFPT8TI?si=6fDPN37NJRd4Jvn9
,Casper Tielrooij Boiler Room X Dekmantel Festival DJ Set,Classic House & Garage,,https://youtu.be/OyVKFpvW0BU?si=qOoo6Ij8wJSNpmcM
,Charlotte de Witte | Tomorrowland Belgium 2018,Hard & Driving Techno,https://soundcloud.com/charlottedewittemusic/tomorrowland2018?si=f28ce65861f04e008a62639ec6907dee&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/mWvdsMwnGmM?si=z_iK9maiETveJxPR
,Charlotte de Witte: Charlotte de Witte @ Dour Festival 2017 on Cercle,Hard & Driving Techno,,https://youtu.be/AtZxg-OC5ho?si=W9-Zskb43-obWBQN
,Chris Stussy | Boiler Room: Edinburgh,Minimal & Deep House,https://soundcloud.com/platform/chris-stussy-edinburgh,https://youtu.be/42XFNGZrpaQ?si=BIPDh4bGNucpWlLz
,Claptone BBC Radio 1 mix (SoundCloud),Classic House & Garage,https://soundcloud.com/claptone/claptone-bbc-radio-1-essential-mix,https://youtu.be/z3TOMkS1RtY?si=0u0drX4zp_NFIHg1
,CLAPTONE in The Lab LDN,Classic House & Garage,https://soundcloud.com/user-134917590/claptone-in-the-lab-ldn,https://www.youtube.com/live/U04zWe_VZJE?si=jSSc-2XyG7SU3BOn
,Colin Benders Live Modular Techno Set | Mysteryland 2020 | Modular Mayhem,Hard & Driving Techno,,https://youtu.be/EgUQb3VL88M?si=m3OOV0s4Wdw2VzcZ
,Colyn - Digital DGTL 2020 Livestream,Melodic House & Techno,https://soundcloud.com/dgtl-festival/colyn-digital-dgtl-2020-1,https://youtu.be/DlgQ5Y8mxP8?si=Ph_y0xl4j-Gm-T9o
,"Colyn at Jatayu Earth's Center, in Kerala, India for Cercle",Melodic House & Techno,https://soundcloud.com/user-944116902/colyn-at-jatayu-earths-center-in-kerala-india-for-cercle?si=4faa160e126141fba775945dc5180ca9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/qBFxhkfFF3I?si=htMmTWCiCgt28mlM
,Colyn for Audio Obscura: Revere Series at Het Scheepvaartmuseum,Melodic House & Techno,https://soundcloud.com/audio-obscura/colyn-revereseries,https://youtu.be/ZmZe1NrwHxs?si=Z1kNhn6V3eCUZPqO
,Dave Lee FKA Joey Negro house & disco set,Disco & Funky House,https://soundcloud.com/josh-leggett-53253976/dave-lee-fka-joey-negro-disco?si=cdc81a6d59404db0a7248d47c02cec12&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/0hBxfFw87zo?si=4IA66JEpKM-u0A34
